listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668259705652-3827116775-location	Christchurch, Canterbury	2014 Nissan X-Trail	 FINANCE AVAILABLE. TRADE-INS WELCOME 	98,000km	2000cc, Petrol, Automatic	$18,450		Asking price  $18,450
1668259705661-3827116772-location	Christchurch, Canterbury	2009 Nissan Fairlady	 6SRS. REAR CAMERA. FINANCE. TRADE-INS WELCOME 	61,000km	3700cc, Petrol, Automatic	$25,450		Asking price  $25,450
1668259705667-3827116767-location	Christchurch, Canterbury	2017 Nissan Note	 HYBRID. FINANCE AVAILABLE. TRADE-INS WELCOME 	136,500km	1200cc, Hybrid, Automatic	$12,450		Asking price  $12,450
1668259705674-3827116743-location	Christchurch, Canterbury	2016 Nissan Cube	 FINANCE AVAILABLE. TRADE-INS WELCOME 	103,600km	1500cc, Petrol, Automatic	$8,870		Asking price  $8,870
1668259705683-3826840485-location	Hamilton, Waikato	2005 Nissan Skyline	 NO DEPOSIT FINANCE AVAILABLE T.A.P 	69,507km	3490cc, Petrol, Manual	$15,950		Asking price  $15,950
1668259712003-3826670091-location	Geraldine, Canterbury	2007 Nissan Murano	 4WD, Leather, Bose sound, VERY tidy bargain SUV! 	166,948km	3498cc, Petrol, Automatic	$7,700	 Private seller 	Or near offer  $7,700
1668259712012-3826668863-location	Auckland, Auckland	2015 Nissan Navara	 ~ CANOPY, - TOWBAR - READY TO WORK ~ 	164,711km	2488cc, Diesel, Manual	$14,980		Asking price  $14,980
1668259712020-3826660157-location	Wellington, Wellington	2021 Nissan X-Trail	 THE GREAT GAZLEY CAR CLEARANCE ON NOW 	16,969km	2488cc, Petrol, Automatic	$29,990		Asking price  $29,990
1668259712030-3826658458-location	Auckland, Auckland	2020 Nissan Navara	 VERY LOW KMS, CANOPY COMBO! 	13,000km	2298cc, Diesel, Automatic	$43,990		Asking price  $43,990
1668259712038-3826644932-location	Lower Hutt, Wellington	2017 Nissan Note	 Drive Away Price - No Hidden Costs 	24,500km	1200cc, Hybrid, Automatic	$21,995		Asking price  $21,995
1668259712049-3826513661-location	Whangarei, Northland	2016 Nissan Juke	 TRADE IN | FINANCE | BEST SELECTION 	60,220km	1598cc, Petrol, Automatic	$16,990		Asking price  $16,990
1668259712056-3826512085-location	Auckland, Auckland	2020 Nissan Navara	 MANUAL RX WITH CANOPY 	20,608km	2298cc, Diesel, Manual	$33,990		Asking price  $33,990
1668259712064-3826500564-location	Palmerston North, Manawatu	2008 Nissan Dualis	 GLASS ROOF ALLOYS DUAL AIRBAGS 	74,382km	1990cc, Petrol, Automatic	$10,990		Asking price  $10,990
1668259712084-3826499656-location	Waikato, Waikato	2017 Nissan Qashqai	 Multi-Award Winning Dealership 	135,894km	1997cc, Petrol, Automatic	$18,990		Asking price  $18,990
1668259712092-3826487181-location	Tauranga, Bay of Plenty	2010 Nissan Fuga	 MAKE YOUR JDM DREAM REALITY FROM ONLY $60 A WEEK* 	119,004km	3700cc, Petrol, Automatic	$13,880		Asking price  $13,880
1668259712102-3826487180-location	Tauranga, Bay of Plenty	2018 Nissan Leaf	 PAY ONLY $35430 AFTER $3450 CASH BACK REBATE! 	47,010km	Electric, Automatic	$38,280		Asking price  $38,280
1668259712117-3826432077-location	, Wellington	2021 Nissan Leaf	 Drive Away Price - No Hidden Costs 	8,900km	Electric, Automatic	$46,995		Asking price  $46,995
1668259712127-3826431706-location	Auckland, Auckland	2015 Nissan NV350	 WANT TO FINANCE? WE CAN GET YOU THE BEST RATE! 	163,270km	2500cc, Petrol, Automatic	$24,985		Asking price  $24,985
1668259712136-3826402065-location	Auckland, Auckland	2013 Nissan Sylphy	 NO CLEAN CAR FEES REQUIRED! 	73,302km	1800cc, Petrol, Automatic	$9,474		Asking price  $9,474
1668259712180-3826402062-location	Auckland, Auckland	2014 Nissan Leaf	 GET $3450 REBATE - ELIGIBLE FOR CLEAN CAR REBATE* 	52,611km	Electric, Automatic	$19,474		Asking price  $19,474
1668259712189-3826393372-location	Hamilton, Waikato	2008 Nissan Fuga	 OVER 500 VEHICLES AVAILABLE ON OUR WEBSITE 	87,458km	3500cc, Petrol, Automatic	$8,900		Asking price  $8,900
1668259712196-3826393366-location	Hamilton, Waikato	2015 Nissan Leaf	 QUALITY JAPANESE IMPORTS AT WHOLESALE PRICES 	62,750km	Automatic	$15,990		Asking price  $15,990
1668259712207-3826393319-location	Auckland, Auckland	2019 Nissan Pathfinder	 AVAILABLE FOR IMMEDIATE DELIVERY! 	54,600km	3498cc, Petrol, Automatic	$33,990		Asking price  $33,990
1668259712215-3826393146-location	Auckland, Auckland	2015 Nissan Qashqai	 AFFORDABLE 5 SEATER FAMILY SUV 	79,700km	1997cc, Petrol, Automatic	$18,990		Asking price  $18,990
1668259712223-3826393139-location	Auckland, Auckland	2019 Nissan X-Trail	 4WD FAMILY SUV ! 	85,700km	2488cc, Petrol, Automatic	$26,450		Asking price  $26,450
1668259712234-3826393136-location	Auckland, Auckland	2019 Nissan X-Trail	 4WD FAMILY SUV ! 	70,580km	2488cc, Petrol, Automatic	$26,450		Asking price  $26,450
1668259712242-3826372440-location	Christchurch, Canterbury	2008 Nissan Navara	 NZ NEW - TOWBAR - 4WD 	220,896km	2488cc, Diesel, Automatic	$18,990		Asking price  $18,990
1668259718730-3837253763-location	Auckland, Auckland	2017 Nissan Navara	 ** CANOPY AND 20 INCH WHEELS ** 	101,500km	2298cc, Diesel, Automatic	$29,889		Asking price  $29,889
1668259718741-3826267629-location	Christchurch, Canterbury	2017 Nissan X-Trail	 TOP SPEC TI - 2WD/4WD - SUNROOF 	24,305km	2488cc, Petrol, Automatic	$29,990		Asking price  $29,990
1668259718749-3826249508-location	Christchurch, Canterbury	2017 Nissan Note	 360 CAMERA, 'AA' APPRAISED & 'AA' CERTIFIED DEALER 	87,508km	1200cc, Hybrid, Automatic	$19,450		Asking price  $19,450
1668259718761-3826181022-location	Cromwell, Otago	2009 Nissan Dualis	sub_title missing	122,824km	1990cc, Petrol, Automatic	$8,490	 Private seller 	Asking price  $8,490
1668259718768-3825864691-location	Hastings, Hawke's Bay	2017 Nissan Note	 SMART LOOKING HYBRID! GOVT REBATE 	28,423km	1200cc, Hybrid, Automatic	$20,950		Asking price  $20,950
1668259718775-3825690037-location	Auckland City, Auckland	2018 Nissan Leaf	sub_title missing	43,000km	Electric	$31,800	 Private seller 	Asking price  $31,800
1668259718786-3825568840-location	Franklin, Auckland	1995 Nissan Patrol	sub_title missing	233,000km	4169cc, Diesel, Manual	$44,690	 Private seller 	Asking price  $44,690
1668259718795-3825479979-location	Wellington, Wellington	2015 Nissan Leaf	 GET $3450 REBATE - ELIGIBLE FOR CLEAN CAR REBATE* 	64,821km	Electric, Automatic	$18,474		Asking price  $18,474
1668259718804-3825320028-location	Christchurch, Canterbury	2017 Nissan Note	 FINANCE AVAILABLE. TRADE-INS WELCOME 	125,300km	1200cc, Hybrid, Automatic	$14,320		Asking price  $14,320
1668259718826-3825319661-location	Christchurch, Canterbury	2014 Nissan Pulsar	 MANUAL. NZ NEW. 6SRS. FINANCE. TRADE-INS. 	127,000km	1500cc, Petrol, Manual	$8,230		Asking price  $8,230
1668259718833-3825227285-location	Auckland, Auckland	2014 Nissan Leaf	 PAY ONLY $14330 AFTER $3450 CASH BACK REBATE! 	90,498km	Electric, Automatic	$17,280		Asking price  $17,280
1668259718842-3825211586-location	Auckland, Auckland	2008 Nissan Tiida	 HOME OF THE 5-DAY MONEY BACK GUARANTEE 	140,477km	1498cc, Petrol, Automatic	$6,970		Asking price  $6,970
1668259718854-3825111148-location	Dunedin, Otago	2022 Nissan Navara	 2022 Nissan Navara PRO4X 4WD Auto 	6,344km	2298cc, Diesel, Automatic	$74,990		Asking price  $74,990
1668259718863-3825100481-location	Auckland, Auckland	2015 Nissan X-Trail	 Fast & Easy Approval Finance!!! 	88,441km	2000cc, Hybrid, Automatic	$25,980		Asking price  $25,980
1668259718872-3824990498-location	Wanganui, Whanganui	2012 Nissan Navara	 LOW finance options available! 	162,191km	2998cc, Diesel, Automatic	$32,995		Asking price  $32,995
1668259718883-3824916003-location	Christchurch, Canterbury	2013 Nissan Sylphy	 NO CLEAN CAR FEES REQUIRED! 	47,130km	1800cc, Petrol, Automatic	$9,474		Asking price  $9,474
1668259718893-3824672305-location	Christchurch, Canterbury	2022 Nissan X-Trail	 RUNOUT NOW ON | 3.9 FINANCE | 7 SEATS | LEATHER 	15km	2499cc, Petrol, Automatic	$44,312.50		Asking price  $44,312.50
1668259718902-3824672259-location	Christchurch, Canterbury	2018 Nissan Leaf	 6KW ONBOARD CHARGER 	16,447km	Electric, Automatic	$36,750		Asking price  $36,750
1668259718922-3824672168-location	Wanganui, Whanganui	2018 Nissan Navara	 LOADED WITH ALL THE EXTRAS, READY TO WORK OR PLAY! 	81,181km	2298cc, Diesel, Automatic	$36,995		Asking price  $36,995
1668259718933-3824578633-location	Auckland, Auckland	2022 Nissan Navara	 MORE COLOURS AVAILABLE! 	mileage missing	2298cc, Diesel, Automatic	$55,538		Asking price  $55,538
1668259718942-3824069604-location	Palmerston North, Manawatu	2007 Nissan Note	sub_title missing	53,509km	1490cc, Petrol, Automatic	$6,500	 Private seller 	Or near offer  $6,500
1668259718954-3823797739-location	Pukekohe, Auckland	2005 Nissan Bluebird	sub_title missing	67,000km	1760cc, Petrol, Automatic	$4,800	 Private seller 	Asking price  $4,800
1668259727218-3823678596-location	Auckland, Auckland	2017 Nissan Leaf	 GET $3450 REBATE - ELIGIBLE FOR CLEAN CAR REBATE* 	30,062km	Electric, Automatic	$22,979		Asking price  $22,979
1668259727235-3823612453-location	Hastings, Hawke's Bay	2019 Nissan NV350	 LOW KM - AA APPRAISED 	46,602km	2500cc, Petrol, Automatic	$34,950		Asking price  $34,950
1668259727244-3823596276-location	Tauranga, Bay of Plenty	2020 Nissan Kicks	 GET $1244 CASH BACK REBATE AFTER PURCHASE! 	26,200km	1200cc, Hybrid, Automatic	$38,880		Asking price  $38,880
